input,output
"question: what is the proposition in TARGETCASE? context: [11] Section 9(1.2) of the Act requires that any person who makes an application for a visitor's visa must satisfy a visa officer that the person is not an immigrant. Section 9(1.2) of the Act sets out a statutory presumption that a person making an application for a visitor's visa is an immigrant, or a person who is seeking lawful permission to establish permanent residence in Canada. <TARGETCASE> ","Any person who makes an application for a visitor's visa must satisfy a visa officer that the person is not an immigrant, as there is a statutory presumption that such a person is seeking to establish permanent residence in Canada."
"question: what is the proposition in TARGETCASE? context: [22] There remains the RPD's conclusion that the applicant was not credible, a conclusion which it based on her actions and on certain contradictions between her point of entry statements and her Personal Information Form. In order to be successful the applicant had to persuade the Court that the panel made a patently unreasonable decision, that is a decision which cannot be based on any reasoning and finds no support in the evidence: <TARGETCASE> , ","In order to be successful, the applicant had to persuade the Court that the panel made a patently unreasonable decision, that is a decision which cannot be based on any reasoning and finds no support in the evidence."
"question: what is the proposition in TARGETCASE? context: [13] It is also settled law that the Board's findings of fact, and more specifically its assessment of the evidence, are also subject to the reasonableness standard. It is not for the Court to substitute its assessment of the evidence for the Board's or to reassess the weight assigned to certain evidence by the Board, and it will intervene only if the Board's findings are made in a perverse or capricious manner or without regard to the evidence ( <REFERENCE> ; Canada (Citizenship and <TARGETCASE> ",The Court will only intervene with the Board's findings of fact or assessment of evidence if they are made in a perverse or capricious manner or without regard to the evidence.
"question: what is the proposition in TARGETCASE? context: [72] The Officer had an obligation to engage in the Applicant's personal evidence of establishment. As Justice Elizabeth Heneghan said in <REFERENCE> : 11 The Applicant submits that the Officer failed to consider her degree of establishment in Canada and erred in making the finding that the establishment was no more than would be expected of a person who has been in Canada for several years without status. The Officer said the following: ...the degree of establishment is nothing beyond the normal establishment that one would expect the applicants to have achieved in the circumstances. Accordingly, I do not find that the applicants' establishment in Canada is to such a degree that having to apply for permanent residence from outside of Canada would constitute unusual and undeserved or disproportionate hardship. 12 Relying on the decisions in <REFERENCE> (F.C.T.D.) and <TARGETCASE> argues that this conclusion, made without analysis of her particular circumstances, is erroneous. In <REFERENCE> , Mr. Justice Blais said the following at para. 29: ",The Officer is obliged to consider the applicant's degree of establishment in Canada and making a conclusion without analyzing the applicant's particular circumstances is erroneous.
"question: what is the proposition in TARGETCASE? context: This oversight is all the more glaring since there is no definition of that concept in the IRPA , nor is there any accepted understanding of that term to be found in the case law. The only discussion of what constitutes ""espionage"" appears to be the following paragraphs of Mr. Justice Lemieux's decision in <REFERENCE> where he dealt with the same word as it was found in the Immigration Act , R.S.C. 1985, c. I-2: <REFERENCE> ""25. The Immigration Act does not contain any definition of espionage or subversion and, as noted, there are no cases on point except the decision of the Immigration Appeal Board in Wenberg, Eric Ray (1968), 4 I.A.C. 292, which stated at page 307: <REFERENCE> 'The words ""espionage"", ""sabotage"" and ""subversive activity"" would appear to have no special legal meaning, and they must therefore be given their ordinary meaning. <TARGETCASE> '""Espionage"" is defined in the Shorter Oxford English Dictionary , 3rd Ed., as ""The practice or employment of spies"".","The words 'espionage', 'sabotage' and 'subversive activity' have no special legal meaning, and must be given their ordinary meaning."
"question: what is the proposition in TARGETCASE? context: [18] Consolidating the line of reasoning that has been developing within this strand of interpreting section 97 of the Act, in <TARGETCASE> (at paras 40-41) Justice Gleason goes on to propose a test for the analysis of generalized risk under section 97 of the Act. (1) The nature of the risk faced by the claimant must first be appropriately determined. This is done by assessing the ongoing or future nature of the risk the claimant faces in terms of whether the risk will continue to be personalized in nature; what the risk is; whether the risk can be classified as either cruel and unusual treatment or punishment; and the basis of the risk faced. (2) With the nature of the risk having been appropriately determined, the next step is to compare the ""risk faced by the claimant to that faced by a significant group in the country to determine whether the risks are of the same nature and degree"" ( <REFERENCE> at para 41). If the risk faced by the claimant can be differentiated under this second step, then the claimant will be entitled to protection under section 97 of the Act. ","Justice Gleason proposed a test for the analysis of generalized risk under section 97 of the Act, which involves determining the nature of the risk faced by the claimant and comparing it to the risk faced by a significant group in the country to determine if they are of the same nature and degree."
"question: what is the proposition in TARGETCASE? context: [20] The co-called fresh step rule has been described by this Court in <TARGETCASE> s follows: <REFERENCE> ""The purpose of the 'fresh step' rule is to prevent a party from acting inconsistently with its prior conduct in the proceeding. By pleading in response to a statement of claim, for instance, a defendant may extinguish their right to complain of fatal deficiencies in the allegations made against them. The fresh step rule aims to prevent prejudice to a party who has governed themselves according to the procedural steps taken by the opposing side, where it would be unfair to permit a reversal in approach. <REFERENCE> ","The purpose of the 'fresh step' rule is to prevent a party from acting inconsistently with its prior conduct in the proceeding, and it aims to prevent prejudice to a party who has governed themselves according to the procedural steps taken by the opposing side."
"question: what is the proposition in TARGETCASE? context: [68] For example, the deferential standard was applied to the review of: (i) a decision by the Financial Services Tribunal declining to award costs to the appellants out of its pension trust fund on the basis that it lacked the authority to do so ( <REFERENCE> at para 34); (ii) a decision by the Patented Medicine Prices Review Board interpreting its enabling legislation ( <REFERENCE> at para 34); (iii) the Arbitration Committee's interpretation of a provision in its enabling statute regarding the awarding of costs ( <REFERENCE> [ Smith ] at para 28); (iv) the Canadian Human Rights Commission's decision that it had the authority under its enabling legislation to award costs in <REFERENCE> [ <REFERENCE> ] at paras 15-27; (v) a decision by implication by the Information and Privacy Commissioner of Alberta that it was entitled under its enabling statute to extend the statutory time limit to complete an inquiry ( Alberta Teachers at para 30); (vi) an implicit decision by the British Columbia Securities Commission interpreting a limitation provision in its home statute ( <TARGETCASE> at paras 21 -22); and (vii) a decision of the Governor in Council under the Canada Transportation Act , SC 1996, c 10 ( CN at para 55). ",An implicit decision by the British Columbia Securities Commission interpreting a limitation provision in its home statute can be reviewed under a deferential standard.
question: what is the proposition in TARGETCASE? context: [18] Justice Dawson concluded that the Board must consider whether the risk is faced generally by all other persons living in the country. <TARGETCASE> ,The Board must consider whether the risk is faced generally by all other persons living in the country.
"question: what is the proposition in TARGETCASE? context: [20] In both <REFERENCE> [see footnote 5] and <REFERENCE> , there was only one patent at issue. One aspect of the invention in each case was the specific thing (i.e. the actual apparatus or the bulk enalapril) acquired before the grant of the patent. Further, in <TARGETCASE> , Thurlow, J., granted immunity with respect to the process claims because the defendant had practiced the process prior to grant. In the case at bar, there are two separate and distinct inventions. As s. 56 applies only to an invention which is acquired prior to grant, each invention must be examined separately. Considering the '350 patent, one aspect thereof relates to bulk lisinopril, and another aspect to lisinopril compounded into tablets. The only intended use of the lisinopril in the '350 patent is for treating hypertension. Considering the '351 patent, lisinopril per se is not an inherent aspect of the invention. At the date of issuance of the '351 patent, lisinopril was known subject matter. The invention of the '351 patent lies solely in the new and not obvious use claimed. To acquire the invention of the '351 patent is to use lisinopril for the novel use, namely, for the purpose of prolonging survival of mammalians with congestive heart failure. There was no evidence before me indicating that Apotex did so prior to the grant of the '351 patent. ",Immunity is granted with respect to the process claims if the defendant had practiced the process prior to grant.
"question: what is the proposition in TARGETCASE? context: [20] <REFERENCE> Justice Simon Noël found at paragraph 17 that the Board erred by failing to consider whether the risk faced by the applicant was different from the general risk created by ordinary criminal activity: <TARGETCASE> As was the case in Martinez Pineda , the Board erred in its decision: it focused on the generalized threat suffered by the population of Guatemala while failing to consider the Applicant's particular situation. Because the Applicant's credibility was not in question, the Board had the duty to fully analyse and appreciate the personalized risk faced by the Applicant in order to render a complete analysis of the Applicant's claim for asylum under section 97 of the IRPA. It appears that the Applicant was not targeted in the same manner as any other vendor in the market: reprisal was sought because he had collaborated with authorities, refused to comply with the gang's requests and knew of the circumstance of Mr. Vicente's death. <REFERENCE> ","The Board must fully analyse and appreciate the personalized risk faced by an asylum applicant, especially when their credibility is not in question, to render a complete analysis of the claim under section 97 of the IRPA."
"question: what is the proposition in TARGETCASE? context: [28] State protection does not need to be perfect, as no government can guarantee the protection of all of its citizens at all times; it merely needs to be adequate ( <TARGETCASE> A.C.W.S. (3d) 191; <REFERENCE> A.C.W.S. (3d) 904). ",State protection does not need to be perfect; it merely needs to be adequate.
"question: what is the proposition in TARGETCASE? context: [22] The failure to make a refugee claim at the first opportunity may be a pertinent factor in assessing the credibility of an Applicant but it cannot be the sole basis upon which to draw an adverse credibility finding (REFERENCE; REFERENCE). The RPD cannot ignore explanations provided by an Applicant and must consider them (REFERENCE; REFERENCE, above). In TARGETCASE, Justice Yvon Pinard noted that it is ""wrong to impose on [an] applicant a duty of seeking refugee status at the first available opportunity in a third country"". In that, other factors may at times prevalent. ",It is wrong to impose on an applicant a duty of seeking refugee status at the first available opportunity in a third country.
"question: what is the proposition in TARGETCASE? context: [44] The Applicant is right to bring to the Court's attention the treatment of the same piece of evidence by Justice Michel Shore in <TARGETCASE> : The destruction of house churches in the Fujian province is evidence, in and of itself, that the Chinese authorities do not allow Christians to practice their faith freely. Freedom of religion encompasses the ability to espouse one's faith publicly, in a manner, individually or collectively, chosen in as much as not to interfere with the fundamental rights of others. By destroying house churches, the Chinese government is infringing on that right in a persecutory manner. ... The Board found that the evidence did not support that the Applicant has good grounds for fearing persecution in an unregistered house church. In making this finding, the Board reviews the documentary evidence on the Fujian and focuses particularly on reports of arrests of unregistered Christians in the Fujian and finds that there are no reports of arrests of unregistered Christians in the Fujian.","The destruction of house churches in the Fujian province is evidence that the Chinese authorities do not allow Christians to practice their faith freely, infringing on their right in a persecutory manner."
question: what is the proposition in TARGETCASE? context: [143] The Board relied on the Supreme Court of Canada in <TARGETCASE> when it determined its own jurisdiction regarding this Petition. ,The Board can determine its own jurisdiction regarding a Petition.
"question: what is the proposition in TARGETCASE? context: [20] A generalized risk need not be one experienced by every citizen. A subgroup can face a generalized risk. This was clear to Madam Justice Judith Snider in <TARGETCASE> . The Court was asked to consider parents in Colombia as a specific group that is targeted as victims of crime, specifically, child abduction. The Court noted that the category of ""parents"" is significantly broad and the risk is a widespread or prevalent risk for all Colombian parents (at paragraph 25). The applicants in that case could not personalize the risk beyond membership to that subgroup and this did not satisfy the Court. Thus, a generalized risk could be one experienced by a subset of a nation's population thus, membership in that category is not sufficient to personalize the risk. ","A generalized risk can be one experienced by a subset of a nation's population, but membership in that category is not sufficient to personalize the risk."
"question: what is the proposition in TARGETCASE? context: [63] Furthermore, the RPD is presumed to have considered all of the evidence before it, whether or not it indicates having done so in its reasons. The RPD is entitled to give some documents more weight than others, and it is granted a large amount of discretion in its assessment. <TARGETCASE> ","The RPD is presumed to have considered all of the evidence before it, whether or not it indicates having done so in its reasons, and is entitled to give some documents more weight than others."
"question: what is the proposition in TARGETCASE? context: [30] At paragraph 25 of her reasons in <REFERENCE> , guided by the principles enunciated by the Supreme Court of Canada in <TARGETCASE> D.L.R.(3d) 558, Justice Mactavish states that a Court should not interfere with a forfeiture decision where ""statutory discretion has been exercised in good faith, in accordance with the principles of natural justice, and where reliance has not been placed upon considerations irrelevant or extraneous to the statutory purpose"". ","A court should not interfere with a forfeiture decision where statutory discretion has been exercised in good faith, in accordance with the principles of natural justice, and where reliance has not been placed upon considerations irrelevant or extraneous to the statutory purpose."
"question: what is the proposition in TARGETCASE? context: [61] The Applicant in its first Memorandum relies on one point only. It is set out in paragraph 84 as follows: ""84. Apotex's process for producing raloxifene hydrochloride includes a recrystallization step which is different than the '399 Patent. When dealing with the polymorphic systems any changes to the purification step will end up with a different polymorph. Dr. Williard confirmed on cross-examination that changes in the purification can lead to a different polymorphic material. The differences <TARGETCASE> purification step may lead to a different polymorph than that which is produced in the '399 Patent."" ",Changes in the purification process can lead to a different polymorphic material than that which is produced in the '399 Patent.
"question: what is the proposition in TARGETCASE? context: [29] It is very rare that non-compliance of a condition to the exercise of jurisdiction (or a breach of procedural fairness) does not lead to a quashing of the decision, and in this case, the Court is not satisfied that the result would be automatically the same in the future. Moreover, in the Court's opinion, the removal order was null and void from the beginning; thus, everything which flowed from it was also null and void ( <TARGETCASE> ). <REFERENCE> ","If a condition to the exercise of jurisdiction is not complied with or there is a breach of procedural fairness, the decision is usually quashed; a removal order that is null and void from the beginning makes everything that flows from it also null and void."
"question: what is the proposition in TARGETCASE? context: [19] With regards to the Board's credibility findings, the respondent submits that the Board first found that the applicant lacked credibility on the basis that she omitted to mention in her PIF that her stepfather was a member of the traditional council. It was then open to the Board to find the lack of corroborating evidence significant in assessing her credibility ( <REFERENCE> ; and <TARGETCASE> ). ",It was open to the Board to find the lack of corroborating evidence significant in assessing her credibility.
"question: what is the proposition in TARGETCASE? context: [83] <TARGETCASE> (T.D.), Thurlow, J., mentioned that the use by a registered owner (now a licensee) has the same effect as use by the owner. He however held that it does not mean that the owner must be deemed to be engaged in the manufacture, sale, leasing or hiring of the wares or the performances of the services in association with which the trademark is used. c) Conclusion ","The use by a registered owner (now a licensee) has the same effect as use by the owner, but it does not mean that the owner must be deemed to be engaged in the manufacture, sale, leasing or hiring of the wares or the performances of the services in association with which the trademark is used."
"question: what is the proposition in TARGETCASE? context: [3] This Court's December 15, 2005 show-cause order specified the acts with which the defendants were charged in contempt were: <REFERENCE> ""(a) After receiving notice of the Order of Justice Kelen, the defendants continued to decode the plaintiffs' encrypted programming signals from the POLSAT 2 International satellite signal without authorization. <REFERENCE> (b) After receiving notice of Justice Kelen's order, the defendants continued to infringe the plaintiffs' copyright and trademarks by: <REFERENCE> - Reproducing the POLSAT 2 International signal without authorization; <REFERENCE> - Editing the POLSAT 2 International signal without authorization; <REFERENCE> - Making individual episodes of the plaintiffs' copyrighted television programs available on the web site www.tvpol.com without authorization; <TARGETCASE> - Using the domain name www.tvpol.com; and <REFERENCE> - Using the trademarks TV POLONIA, POLSAT, POLSAT 2 and the applicable logos on the web site www.tvpol.com. <REFERENCE> (c) Failing to deliver up to the plaintiffs or destroy under oath and the supervision of the Court, the following items in their possession, control or custody: <REFERENCE> - Electronic and hardcopy versions of the plaintiffs' intellectual property, being the television programs decoded by the defendants, their representatives, agents or assigns, reproduced, edited and made available on the web site www.tvpol.com; <REFERENCE> - Any and all hardcopy or electronic versions of the plaintiffs' logos, copyrighted material or other trademarks; <REFERENCE> ",Using the domain name www.tvpol.com is considered an act of contempt.
"question: what is the proposition in TARGETCASE? context: [11] The Court notes the important comments made by the Court <REFERENCE> -Gutirriez , above, when it was said that: <REFERENCE> On the other hand, the reasons given by administrative agencies are not to be read hypercritically by a court ( <REFERENCE> agencies required to refer to every piece of evidence that they received that is contrary to their finding, and to explain how they dealt with it (see, for example, <REFERENCE> (F.C.A.) ( ...) However, the more important the evidence that is not mentioned specifically and analyzed in the agency's reasons, the more willing a court may be to infer from the silence that the agency made an erroneous finding of fact ""without regard to the evidence"": <TARGETCASE> (F.C.T.D.). In other words, the agency's burden of explanation increases with the relevance of the evidence in question to the disputed facts. Thus, a blanket statement that the agency has considered all the evidence will not suffice when the evidence omitted from any discussion in the reasons appears squarely to contradict the agency's finding of fact. Moreover, when the agency refers in some detail to evidence supporting its finding, but is silent on evidence pointing to the opposite conclusion, it may be easier to infer that the agency overlooked the contradictory evidence when making its finding of fact. <REFERENCE> ","The agency's burden of explanation increases with the relevance of the evidence to the disputed facts, and a blanket statement that all evidence has been considered is insufficient if the omitted evidence contradicts the agency's finding of fact."
"question: what is the proposition in TARGETCASE? context: [28] The plaintiff based his argument on Demaria . [see footnote 7] That case was discussed by the Federal Court of Appeal in Gallant . [see footnote 8] In that case Marceau, J.A., explained the scope of the ""audi alteram partem"" rule in the case of a decision about the transfer of an inmate. <TARGETCASE> ""The rationale behind the 'audi alteram partem' principle, which simply requires the participation, in the making of a decision, of the individual whose rights or interests may be affected, is, of course, that the individual may always be in a position to bring forth information, in the form of facts or arguments, that could help the decision-maker reach a fair and prudent conclusion. It has long been recognized to be only rational as well as practical that the extent and character of such a participation should depend on the circumstances of the case and the nature of the decision to be made ...","The 'audi alteram partem' principle requires the participation of the individual whose rights or interests may be affected in the decision-making process, as they may provide information that could help reach a fair and prudent conclusion; the extent and character of such participation should depend on the circumstances of the case and the nature of the decision to be made."
"question: what is the proposition in TARGETCASE? context: [35] The new evidence before the Court demonstrates that there have been significant Canadian sales of Minolta's MAGICOLOR printers going back at least as early as 1995. As a consequence, I am satisfied that Minolta has satisfied its initial evidentiary onus of establishing that its mark was known in Canada at the relevant date. The legal burden is then on Mr. Tsai to establish that his MAGICOLOR mark is distinctive: see <TARGETCASE> ; 73 F.T.R. 131; 54 C.P.R.(3d) 418 (T.D.). ","Once a mark is established as known in Canada, the legal burden is on the opposing party to establish that their mark is distinctive."
"question: what is the proposition in TARGETCASE? context: [53] Teva argues that the Patent Act (s 28.3; see Annex I for provisions cited) no longer requires that the relevant prior art be discoverable on a reasonably diligent search - it merely has to be publicly available. Teva cites Barrigar, et al, Canadian Patent Act Annotated , 2nd ed loose-leaf (consulted on 1 April 2015 (Aurora, Ont: Canada Law Book, 1994) at PA-341 where the authors raise a question whether s 28.3 supersedes the previous case law on the accessibility of prior art. Teva also relies on the Federal Court of Appeal's discussion on anticipation in <REFERENCE> rgues this should apply to the law of obviousness. However, there is case law applying the usual ""reasonably diligent search"" criterion even after the enactment of s 28.3 ( <TARGETCASE> ff'd 2013 FCA 219; Eli Lilly and <REFERENCE> ). I see no reason to take a different approach here. ",There is case law applying the 'reasonably diligent search' criterion even after the enactment of s 28.3.
"question: what is the proposition in TARGETCASE? context: [133] In <TARGETCASE> counterfeit merchandise had been delivered-up, purchased or viewed at the defendants' business, over a period of 1 1/2 years, and the Federal Court applied the Anton Piller order scale of damages to each of those 6 instances in an effort to reflect the ongoing damages that would have been suffered by the plaintiffs. In Louis Vuitton Malletier S.A. et al. v. 486353 B.C. Ltd. et al. (2008 BCSC 799), the plaintiffs were able to present evidence of frequency of inventory turnover, over a period of years, and the British Columbia Supreme Court applied the Anton Piller order scale of damages to each of those inventory turnovers in an effort to reflect the ongoing damages to the Plaintiffs in those circumstances. <REFERENCE> C.P.R. (4th) 362 at paragraphs 43-44; and Louis Vuitton Malletier S.A. et al. v. 486353 B.C. Ltd. et al. , 2008 BCSC 799, ","The Anton Piller order scale of damages can be applied to multiple instances of counterfeit merchandise delivery, purchase, or viewing to reflect the ongoing damages suffered by the plaintiffs."
"question: what is the proposition in TARGETCASE? context: [22] Whether the Board erred in imposing a good faith obligation on the Applicant is a question of law and, as such, it is reviewable on the standard of correctness ( Jin , above, at para 5; <TARGETCASE> ","Whether the Board erred in imposing a good faith obligation on the Applicant is a question of law and, as such, it is reviewable on the standard of correctness."
"question: what is the proposition in TARGETCASE? context: with respect to any custodial release provisions that are comparable to those set out in subparagraphs (d)(i) to (iii); <REFERENCE> (e) has been convicted of an offence under section 57 of the Criminal Code or has been convicted in a foreign state of an offence that would, if committed in Canada, constitute an offence under section 57 of the Criminal Code; <REFERENCE> (f) is indebted to the Crown for expenses related to repatriation to Canada or for other consular financial assistance provided abroad at his request by <REFERENCE> (g) has been issued a passport that has not expired and has not been revoked. <REFERENCE> 10. (1) Without limiting the generality of subsections 4(3) and (4) and for the greater certainty, the Minister may revoke a passport on the same grounds on which he or she may refuse to issue a passport. <REFERENCE> (2) In addition, the Minister may revoke the passport of a person who <REFERENCE> (a) being outside Canada, stands charged in a foreign country or state with the commission of any offence that would constitute an indictable offence if committed in Canada; <REFERENCE> (b) uses the passport to assist him in committing an indictable offence in Canada or any offence in a foreign country or state that would constitute an indictable offence if committed in Canada; <TARGETCASE> (c) permits another person to use the passport; <REFERENCE> (d) has obtained the passport by means of false or misleading information; or <REFERENCE> (e) has ceased to be a Canadian citizen.",The Minister may revoke the passport of a person who permits another person to use the passport.
"question: what is the proposition in TARGETCASE? context: [14] The Officer came to that conclusion essentially on the basis of the CSIS brief already referred to in paragraph 4 of these reasons. Here is what she wrote in that respect: <TARGETCASE> ""Specifically, during your military service with the Soviet Army from 1985 to 1987, you were a member of the 82nd Special Communications Brigade, 11th Company, 1st Platoon. You were trained in radio intelligence that consisted of propaganda, physical training, interception, grammar, spelling, audition, and special NATO telegraphic codes. Your duties during your assignment in Torgau, East Germany entailed listening to English language communications coming from US bases in West Germany and identifying and debriefing various frequencies and telegraph codes. I have reached this conclusion because you made these admissions during your background investigation interviews. <REFERENCE> ","During your military service, you were trained in radio intelligence and your duties entailed listening to English language communications from US bases and identifying and debriefing various frequencies and telegraph codes."
"question: what is the proposition in TARGETCASE? context: [16] It is settled law that as a general rule, affidavit material in an application for judicial review is restricted to providing the reviewing court with a record of what was before the tribunal ( <TARGETCASE> [ Canadian Tire Corp. ]). To allow additional material to be introduced at judicial review that was not before the decision-maker would in effect transform the judicial review hearing into a trial de novo , which is not the purpose of judicial review ( Ochapowace First Nation (Indian Band No. 71) v Canada (Attorney General) , 2007 FC 920 at para 10). There are a few recognized exceptions to the general rule against the Court receiving evidence that was not before the decision-maker, namely that the evidence outlines either the general background to the case, procedural defects not on the record, or a complete absence of evidence before the decision-maker to support a particular finding. ","Affidavit material in an application for judicial review is generally restricted to providing the reviewing court with a record of what was before the tribunal, with exceptions for evidence outlining the general background, procedural defects not on the record, or a complete absence of evidence to support a particular finding."
"question: what is the proposition in TARGETCASE? context: [18] The burden of demonstrating a reasonable apprehension of bias lies on the person raising the issue ( <TARGETCASE> Imm LR (3d) 778). While actual bias need not be proven, the test is an objective one and, as stated by the Court in <REFERENCE> FTR 49, ""[t] he threshold for establishing a claim is high and substantial grounds are necessary to support a claim."" ",The burden of demonstrating a reasonable apprehension of bias lies on the person raising the issue and actual bias need not be proven.
"question: what is the proposition in TARGETCASE? context: [22] In Suresh , supra, the Supreme Court of Canada held as follows: <TARGETCASE> ""Insofar as Canada is unable to deport a person where there are substantial grounds to believe he or she would be tortured on return, this is not because art. 3 of the CAT directly constrains the actions of the Canadian government, but because the fundamental justice balance under s. 7 of the Charter generally precludes deportation to torture when applied on a case-by-case basis. We may predict that it will rarely be struck in favour of expulsion where there is a serious risk of torture. However, as the matter is one of balance, precise prediction is elusive. The ambit of an exceptional discretion to deport to torture, if any, must await future cases."" ( Suresh , supra, at 39) <REFERENCE> ","Canada cannot deport a person if there are substantial grounds to believe they would be tortured upon return, not due to art. 3 of the CAT, but because the fundamental justice balance under s. 7 of the Charter generally precludes deportation to torture when applied on a case-by-case basis."
"question: what is the proposition in TARGETCASE? context: [33] There was evidence before the Board that contradicted its finding that risk of rape is generalized: <REFERENCE> - In ""U.S. Department of State: 2008 Human Rights Report: Haiti"" the authors suggest that Haitian women are specifically targeted for rape and this is violence that exists in the context of pervasive discrimination against women (sexual harassment, domestic violence, indifference by the judiciary and the police to the violence which is directed to them). This document discusses the ineffectiveness of the legal prohibition of rape. <TARGETCASE> - An update provided by the ""Amnesty International Report 2007: Haiti"" identified the risk of rape as specific to women: ""women and girls continued to be tortured, raped and killed by illegal armed groups and individuals"". <REFERENCE> - A news report authored by Andrew Buncombe, ""Police and political groups linked to Haiti sex attacks"", September 2006, reports on a survey of sexual violence published by the Lancet.",Haitian women are specifically targeted for rape and this is violence that exists in the context of pervasive discrimination against women.
"question: what is the proposition in TARGETCASE? context: [1] Gibson, J. : The applicant seeks judicial review pursuant to s. 18.1 of the Federal Court Act , R.S.C. 1985, c. F-7 (as amended), of a decision of a Canadian Human Rights Tribunal dated the 20th day of August, 1993 wherein the Tribunal determined that an uncorrected visual acuity standard applied to applicants to the Regular Officer Training Program of the Canadian Armed Forces (the ""CAF"") proposing to enroll in a university physiotherapy program under the sponsorship of the CAF does not constitute a bona fide occupational requirement under s. 15(a) of the Canadian Human Rights Act , R.S.C. 1985, c. H-6 (as amended) (the "" Act ""). The relevant portion of s. 15 reads as follows: <REFERENCE> ""15. It is not a discriminatory practice if <REFERENCE> a) any refusal, exclusion, expulsion, suspension, limitation, specification or preference in relation to any employment is established by an employer to be based on a bona fide occupational requirement; <TARGETCASE> In the result, the Tribunal granted relief to the respondent Hebert who had been screened out of a competition for entry into the Regular Officer Training Program by reason of her failure to meet the CAF's uncorrected visual acuity standard. <REFERENCE> ",An uncorrected visual acuity standard applied to applicants does not constitute a bona fide occupational requirement under s. 15(a) of the Canadian Human Rights Act.
"question: what is the proposition in TARGETCASE? context: In other words, the wrongdoers must take their victims as they are and they are therefore liable even if the prejudice suffered by the applicant is more significant than it would have been if the victim were not afflicted with spondylolysis ( <REFERENCE> , at paragraphs 34 and 35). In this case, the respondent maintains that the conditions suffered by the applicant are not entirely the result of his fall on July 21, 1988, but that his pre-existing condition, i.e. asymptomatic spondylolisthesis, also contributed. The respondent also maintains that the conditions ailing the applicant are [Translation] 'also the result of his personal condition recognized by the physicians and by the applicant himself.' Therefore, also in the opinion of the respondent, under subsection 21(2.1) of the Act , it was not unreasonable for the Board to withhold two fifths of the pension. I cannot accept this argument. The evidence in the record clearly indicates that before the fall on July 21, 1988, the applicant was in good health despite the asymptomatic spondylolisthesis. No evidence in this case indicates that the debilitating effects suffered by the applicant are attributable to the pre-existing condition. <TARGETCASE> See also <REFERENCE> .",Wrongdoers must take their victims as they are and are liable even if the prejudice suffered by the victim is more significant due to a pre-existing condition.
"question: what is the proposition in TARGETCASE? context: [562] Indeed, <TARGETCASE> , above, involved a change made by the Government of Québec to the provincial social assistance scheme. In an effort to encourage young people to obtain job training and enter the work force, the Province decided that the base amount of welfare benefits payable to recipients under the age of 30 should be lower than those payable to welfare recipients over the age of 30, unless the younger recipients agreed to participate in a designated work activity or educational program. In rejecting a Charter challenge to the legislation, the Supreme Court held that the change effected by the new legislation did not affect an interest protected by the right to life, liberty and security of the person guaranteed by section 7 of the Charter, in the absence of a positive right to an adequate standard of living. ","The change in legislation reducing welfare benefits for recipients under 30, unless they participate in a work activity or educational program, does not violate the right to life, liberty and security of the person, as there is no positive right to an adequate standard of living."
"question: what is the proposition in TARGETCASE? context: [26] The applicants submitted that conventional awards do not preclude the Court from weighing the evidence in each case, but yet ensure reasonability and consistency between cases. It was submitted that the principles of certainty, predictability and objectivity should not be overlooked ( <TARGETCASE> ; 121 N.B.R.(2d) 319; 304 A.P.R. 319 (C.A.) at 4 and 5). The applicants submitted that New Brunswick case law has adopted an approach that balances the needs of the particular case and elements of predictability and consistency. Other provinces have also adopted a similar approach ( <REFERENCE> ; 244 N.S.R.(2d) 38; 774 A.P.R. 38 ( <REFERENCE> (S.C.), the applicants submitted that an appropriate award in the present case would be $15,000 for Patsy Ann Wilcox (wife), and $15,000 for Tina Wilcox (daughter). 3. Life expectancy ","The principles of certainty, predictability and objectivity should not be overlooked in weighing the evidence in each case to ensure reasonability and consistency between cases."
"question: what is the proposition in TARGETCASE? context: [14] First, the Respondent reasserts that it was incumbent on the Applicants, as foreign nationals wishing to apply for a TRV, to satisfy the visa officer that they comply with the IRPA and IRPR requirement and to establish, on a balance of probabilities, that they will leave at the end of their temporary residency. <TARGETCASE> ","Foreign nationals wishing to apply for a Temporary Resident Visa must satisfy the visa officer that they comply with the Immigration and Refugee Protection Act and Regulations, and establish that they will leave at the end of their temporary residency."
"question: what is the proposition in TARGETCASE? context: [24] The Supreme Court of Canada has stated in a number of decisions that the scope of principles of fundamental justice will vary with the context and the interests at stake. Similarly, the rules of natural justice and the concept of procedural fairness, which may inform principles of fundamental justice in a particular context, are not fixed standards: <REFERENCE> at p. 361; Syndicat des employés de production du Québec et de l' <TARGETCASE> , at pages. 895-96; <REFERENCE> , at p. 682; Canada (Minister of Employment and <REFERENCE> at pages 743-44; <REFERENCE> at para. 21. ","The rules of natural justice and the concept of procedural fairness, which may inform principles of fundamental justice in a particular context, are not fixed standards."
"question: what is the proposition in TARGETCASE? context: [21] Thus, the Board's failure to consider the risks facing Mr. Ameeri and Maryam in Bahrain as a result of their ethnicity is a reviewable error which must result in the decision being set aside as a decision is unreasonable if it fails to address an issue that must be addressed (see e.g. <REFERENCE> ). <REFERENCE> What is the appropriate remedy? <TARGETCASE> ",A decision is unreasonable if it fails to address an issue that must be addressed.
